Date,Product,Category,Sales,Profit
2024-01-05,Laptop,Electronics,35000,5600
2024-01-12,Smartphone,Electronics,18000,2700
2024-01-15,Headphones,Accessories,8000,1200
2024-01-22,Tablet,Electronics,22000,3300
2024-02-03,Monitor,Electronics,15000,2250
2024-02-10,Keyboard,Accessories,6000,900
2024-02-14,Mouse,Accessories,4000,600
2024-02-20,Smartwatch,Wearables,12000,1800
2024-03-01,Laptop,Electronics,42000,8400
2024-03-05,Smartphone,Electronics,25000,5000
2024-03-12,Headphones,Accessories,9500,1425
2024-03-20,Tablet,Electronics,28000,5600
2024-04-02,Monitor,Electronics,20000,4000
2024-04-08,Keyboard,Accessories,7500,1500
2024-04-15,Mouse,Accessories,5000,1000
2024-04-22,Smartwatch,Wearables,13500,2700
2024-05-01,Laptop,Electronics,46000,6900
2024-05-07,Smartphone,Electronics,30000,4500
2024-05-12,Headphones,Accessories,11000,1650
2024-05-20,Tablet,Electronics,32000,6400
