Date,Product,Category,Sales,Quantity,Profit
2025-01-01,Laptop,Electronics,50000,2,8000
2025-01-01,Phone,Electronics,30000,5,6000
2025-01-02,Shoes,Fashion,8000,4,2000
2025-01-03,Book,Stationery,1200,3,400
2025-01-04,Tablet,Electronics,25000,3,5000
2025-01-05,T-shirt,Fashion,2000,10,600
2025-01-06,Pen,Stationery,500,20,150
2025-01-07,Headphones,Electronics,15000,6,3000
2025-01-08,Notebook,Stationery,800,15,250
2025-01-09,Sandals,Fashion,3000,5,900
2025-01-10,Smartwatch,Electronics,12000,4,2500
2025-01-11,Jeans,Fashion,4000,3,1000
2025-01-12,Marker,Stationery,600,12,180
2025-01-13,Camera,Electronics,45000,2,7000
2025-01-14,Charger,Electronics,2000,8,500
2025-01-15,Backpack,Fashion,3500,4,900
2025-01-16,Notebook,Stationery,900,18,300
2025-01-17,Earbuds,Electronics,10000,5,2200
2025-01-18,Shirt,Fashion,2500,6,700
2025-01-19,Highlighter,Stationery,700,10,200
2025-01-20,Printer,Electronics,22000,2,4000
2025-01-21,Skirt,Fashion,2800,3,800
2025-01-22,Diary,Stationery,1500,5,450
2025-01-23,Monitor,Electronics,18000,2,3500
2025-01-24,Saree,Fashion,5000,2,1200
2025-01-25,Stapler,Stationery,400,10,100
2025-01-26,Keyboard,Electronics,6000,4,1200
2025-01-27,Watch,Fashion,4500,2,1000
2025-01-28,File,Stationery,300,12,80
2025-01-29,Mouse,Electronics,2500,5,600
2025-01-30,Jacket,Fashion,7000,3,1600
